#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###############
#
#	Laws
#
###############

kingdom_lockout_group;Kingdom Lockout Laws;;;;;;;;;x
kingdom_lockout_group_desc;In some lands, the titles that can be assumed by a vassal--even at the behest of their liege--are greatly restricted. While this prevents any single vassal from gaining too much power, it does have the drawback of making large realms a bit more difficult to govern.;In some lands, the titles that can be assumed by a vassal--even at the behest of their liege--are greatly restricted. While this prevents any single vassal from gaining too much power, it does have the drawback of making large realms a bit more difficult to govern.;In some lands, the titles that can be assumed by a vassal--even at the behest of their liege--are greatly restricted. While this prevents any single vassal from gaining too much power, it does have the drawback of making large realms a bit more difficult to govern.;;In some lands, the titles that can be assumed by a vassal--even at the behest of their liege--are greatly restricted. While this prevents any single vassal from gaining too much power, it does have the drawback of making large realms a bit more difficult to govern.;;;;;;;;;x
kingdom_lockout_0;No Vassal Kings;;;;;;;;;x
kingdom_lockout_0_desc;Kingdom-tier titles cannot be created in the realm, either by the liege or by the vassal, except in very specific cases.;;;;;;;;;x
kingdom_lockout_0_option;None;;;;;;;;;x
kingdom_lockout_1;Vassals and Liege;;;;;;;;;x
kingdom_lockout_1_desc;Titles of all tiers may be created, by anyone.;;;;;;;;;x
kingdom_lockout_1_option;Anyone;;;;;;;;;x
kingdom_lockout_2;Liege Only;;;;;;;;;x
kingdom_lockout_2_desc;Kingdom-tier titles can only be created by the top liege.;;;;;;;;;x
kingdom_lockout_2_option;Liege;;;;;;;;;x

feudal_focus;Feudal Focus;;;;;;;;;x
feudal_focus_desc;Feudal Focus changes the composition of their obligations to you.;;;;;;;;;x
feudal_focus_0;Highly Levy Oriented Feudal Focus;;;;;;;;;x
feudal_focus_0_desc;Feudal Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to a major extent.;;;;;;;;;x
feudal_focus_1;Moderately Levy Oriented Feudal Focus;;;;;;;;;x
feudal_focus_1_desc;Feudal Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to some extent.;;;;;;;;;x
feudal_focus_2;Balanced Feudal Focus;;;;;;;;;x
feudal_focus_2_desc;Feudal Focus changes the composition of their obligations to you. At this level  you would not be focusing on any area.;;;;;;;;;x
feudal_focus_3;Moderately Tax Oriented Feudal Focus;;;;;;;;;x
