#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Celtic
druid;[GetDruidMaleFemale];[GetDruidMaleFemale];[GetDruidMaleFemale];;[GetDruidMaleFemale];;;;;;;;;x
druid_desc;Druids lead in passing down their ancient, strictly oral tradition to the next generation, by organising worship, sacrifice and divination. They are also consulted in matters both legal and judicial and act as medical prefessionals and advisors.;Les druides transmettent leur ancienne tradition strictement orale à la génération suivante en organisant le culte, le sacrifice et la divination. Ils sont également consultés sur des questions juridiques et judiciaires et agissent en tant que pré-médecins et conseillers médicaux.;Druiden führen dazu, dass sie ihre alte, streng mündliche Tradition an die nächste Generation weitergeben, indem sie Anbetung, Opfer und Weissagung organisieren. Sie werden sowohl in rechtlichen als auch in gerichtlichen Angelegenheiten konsultiert und fungieren als medizinische Fachleute und Berater.;;Los druidas llevan a transmitir su antigua tradición estrictamente oral a la siguiente generación, organizando la adoración, el sacrificio y la adivinación. También son consultados en asuntos tanto legales como judiciales y actúan como profesionales y asesores médicos.;;;;;;;;;x

bad_priest_celtic;[GetBadPriestCelticMaleFemale];[GetBadPriestCelticMaleFemale];[GetBadPriestCelticMaleFemale];;[GetBadPriestCelticMaleFemale];;;;;;;;;x
bad_priest_celtic_desc;The personality and habits of this [GetDruidMaleFemale] are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les moeurs de ce[GetEEtte] [GetDruidMaleFemale] sont très inappropriées pour quelqu'un de sa fonction. Pire encore, [GetIlElle] est incapable de commettre ses actes impies discrètement.;Die Persönlichkeit und Gewohnheiten [Getdiesesdieser] [GetDruidMaleFemale] sind äußerst unpassend für [GetHerHis]en Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen.;;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;x
BadPriestCelticMale;Depraved Druid;Druide dépravé;Verdorbener Druide;;Druida depravado;;;;;;;;;x
BadPriestCelticFemale;Depraved Druidess;Druidesse dépravée;Verdorbene Druidin;;Druidesa depravada;;;;;;;;;x

machas_javelin;Macha's Javelin;Javelote de Macha;Machas Speerwurf;;Jabalina de Macha;;;;;;;;;x
machas_javelin_desc;The most fearsome Gentlidecht warriors are said to have been gifted their javelins by Macha herself;Les guerriers Gentlidecht les plus redoutables auraient été offerts à leurs javelins par Macha elle-même;Die furchterregendsten Gentlidecht-Krieger sollen ihre Speere von Macha selbst geschenkt bekommen haben;;Se dice que los guerreros gentlidecht más temibles han sido dotados con sus jabalinas por la propia Macha.;;;;;;;;;x

celtic_leader;Fian;Fian;Fian;;Fian;;;;;;;;;x
celtic_leader_desc;This character is a Féinnid, a veteran of the Fianna warbands.;Cette personne est un Féinnid, un vétéran de la compagnie de Fianna.;Dieser Charakter ist ein Féinnid, [Root.Geteineine] Veteran[Root.GetinFemale] der Fianna-Kriegsbande..;;Esta persona es un Féinnid, un veterano de la compañía Fianna.;;;;;;;;;x

#Basque
bad_priest_basque;[GetBadPriestBasqueMaleFemale];[GetBadPriestBasqueMaleFemale];[GetBadPriestBasqueMaleFemale];;[GetBadPriestBasqueMaleFemale];;;;;;;;;x
bad_priest_basque_desc;The personality and habits of this sorgin are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les moeurs de ce[GetEEtte] sorgin sont très inappropriées pour quelqu'un de sa fonction. Pire encore, [GetIlElle] est incapable de commettre ses actes impies discrètement.;Die Persönlichkeit und Gewohnheiten [Getdiesesdieser] [GetDruidMaleFemale] sind äußerst unpassend für [GetHerHis]en Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen.;;La personalidad y hábitos de este sorgin son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;x
BadPriestBasqueMale;Wicked Sorgin;Sorgin Mauvais;Teuflisch Sorgin;;Sorgin Malvado;;;;;;;;;x
BadPriestCelticFemale;Wicked Sorgin;Sorgin Mauvais;Teuflisch Sorgin;;Sorgin Malvada;;;;;;;;;x

flame_of_eate;Flame of Eate;Flamme de Eate;Flamme von Eate;;Llama de Eate;;;;;;;;;x
flame_of_eate_desc;Euskara warriors of great renown are said to have the fire of the Gods burning inside them;On dit que les guerriers euskara de grande renommée ont le feu des Dieux qui brûlent en eux;Euskara-Krieger von großem Renommee sollen das Feuer der Götter in sich brennen lassen;;Se dice que los guerreros Euskara de gran renombre tienen el fuego de los Dioses ardiendo dentro de ellos;;;;;;;;;x

basque_leader;[GetBasqueLeaderMaleFemale];[GetBasqueLeaderMaleFemale];[GetBasqueLeaderMaleFemale];;[GetBasqueLeaderMaleFemale];;;;;;;;;x
basque_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
BasqueLeaderMale;Magical;Magique;Magisch;;Mágico;;;;;;;;;x
BasqueLeaderFemale;Magical;Magique;Magisch;;Mágica;;;;;;;;;x
