#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

########################
#
#	Celtic events
#
########################

# General events

# Changeling events

# Celtic feast events

# Holy Order events

PlusCeltic_301;Keepers of Tír na nÓg;Gardiens du Tír na nÓg;Wächter von Tír na nÓg;;Guardianes de Tír na nÓg;;;;;;;;;x
PlusCeltic_301_desc;As more and more return to Celtic rites and recognize the authority of the druids, some seek to support this precarious resurgence in a different way. They have banded together in the [d_keepers_tirnanog.GetName], the Land of the Young and home to the Celtic pantheon of deities, pledging to defend their homeland against all who would dare take it by force, to ensure the legacy of their ancestors will not be forgotten again.;Alors que de plus en plus de retour aux rites celtiques et reconnaissent l'autorité des druides, certains cherchent à soutenir cette résurgence précaire d'une manière différente. Ils se sont regroupés dans le [d_keepers_tirnanog.GetName], le pays des jeunes et le panthéon des divinités celtes, qui se sont engagés à défendre leur patrie soient à nouveau oubliés.;Während immer mehr zu keltischen Riten zurückkehren und die Autorität der Druiden anerkennen, versuchen einige, dieses prekäre Wiederaufleben auf andere Weise zu unterstützen. Sie haben sich im [d_keepers_tirnanog.GetName], dem Land der Jungen und dem keltischen Pantheon der Götter zusammengeschlossen und sich verpflichtet, ihr Heimatland zu verteidigen, um wieder in Vergessenheit zu geraten.;;A medida que más y más regresan a los ritos celtas y reconocen la autoridad de los druidas, algunos buscan apoyar este resurgimiento precario de una manera diferente. Se han unido en el panteón de deidades [d_keepers_tirnanog.GetName], la Tierra de los Jóvenes y el Celta, comprometiéndose a defender su patria a olvidarse nuevamente.;;;;;;;;;x
PlusCeltic_301_a;[Root.Religion.GetHighGodNameCap] has not yet forgotten about us!;[Root.Religion.GetHighGodNameCap] ne nous a pas encore oublié!;[Root.Religion.GetHighGodNameCap] hat uns noch nicht vergessen!;;¡[Root.Religion.GetHighGodNameCap] aún no se ha olvidado de nosotros!;;;;;;;;;x
PlusCeltic_301_b;What will these barbarians think of next?;On ne sait pas de quoi ces barbares sont capables !;Was wird diesen Barbaren noch alles einfallen?;;¿Qué se les ocurrirá a estos bárbaros ahora?;;;;;;;;;x

PlusCeltic_303_desc;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Keepers of Tír na nÓg in their tireless pursuit of heathenry, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les gardiens du Tír na nÓg dans leur lutte infatigable contre les faibles hérétiques, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will den Wächter von Tír na nÓg in ihrem unermüdlichen Kampf gegen das Heidentum beitreten, obwohl ihn dies auf ewig von der Erbfolge ausschließt. ;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Guardianes de Tír na nÓg en su búsqueda incansable del paganismo, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x

PlusCeltic_312_desc;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in carrying out the will of the druids! You will be ensured a place in the Otherworld!\n\nFor [Root.Religion.GetHighGodName]!\nWarchief [From.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans l'exécution de la volonté des druides!\nVous serez assuré d'une place dans l'autre monde!\n\nPour [Root.Religion.GetHighGodName]!\nChef de guerre [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen, den Willen der Druiden zu verwirklichen! Sie werden sich einen Platz in der Anderswelt sichern!\n\nFür [Root.Religion.GetHighGodName]!\nKriegshäuptling [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda a llevar a cabo la voluntad de los druidas! ¡Te asegurarán un lugar en el Otro Mundo!.\n\nPor [Root.Religion.GetHighGodName]o,\nJefe Guerrero [From.GetFirstName];;;;;;;;;x

PlusCeltic_303_a;Go with my blessing.;Vous avez ma bénédiction.;So gehe hin, mit meinem Segen.;;Otorgo mi bendición;;;;;;;;;x
PlusCeltic_303_b;Absolutely not!;C'est hors de question ! ;Auf keinen Fall!;;¡Me niego por completo!;;;;;;;;;x

PlusCeltic_304_tt;[This.GetTitledFirstName] becomes a Keeper of Tír na nÓg.;[This.Get_Le_TitledFirstName] devient un Gardien du Tír na nÓg.;[This.GetTitledFirstName] wird Wächter von Tír na nÓg;;[This.GetTitledFirstName] se convierte en Guardián de Tír na nÓg.;;;;;;;;;

PlusCeltic_305_tt;[This.GetTitledFirstName] is disappointed.;La déception [This.Get_du_TitledFirstName] est grande.;[This.GetTitledFirstName] ist enttäuscht.;;[This.GetTitledFirstName] está decepcionado.;;;;;;;;;x

PlusCeltic_324_desc;Most righteous [Root.GetTitledFirstName], the Keepers of Tír na nÓg are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nFor [Root.Religion.GetHighGodName]!\nWarchief [From.GetFirstName];Très juste [Root.GetTitledFirstName], les Gardiens du Tír na nÓg ont besoin de nouveaux fort afin de lever des troupes et de générer les revenus nécessaires à leur fonctionnement. Il se trouve que vous posséderiez un emplacement approprié sur votre domaine, à [FromFrom.GetName] pour être précis. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nPour [Root.Religion.GetHighGodName]!\nChef de guerre [From.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Wächter von Tír na nÓg benötigen weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [FromFrom.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nFür [Root.Religion.GetHighGodName]!\nKriegshäuptling [From.GetFirstName];;Mi justo [Root.GetTitledFirstName], los Guardianes de Tír na nÓg necesitan más castillos para entrenar tropas y obtener ingresos para sostenerse. Ha llegado a mi conocimiento que hay un lugar adecuado en su heredad, en [FromFrom.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nPor [Root.Religion.GetHighGodName],\nJefe Guerrero [From.GetFirstName];;;;;;;;;x

PlusCeltic_325_desc;The Keepers of Tír na nÓg have constructed a castle in [Root.GetName]!;Les Gardiens du Tír na nÓg ont construit un château en [Root.GetName] !;Die Wächter von Tír na nÓg haben in [Root.GetName] eine Burg errichtet!;;¡Los Guardianes de Tír na nÓg han construido un castillo en [Root.GetName]!;;;;;;;;;x

