#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###########################
#
#	Localisation keys
#
###########################

#GetFactionName
GetFactionName_Court;Court;Cour;Hof;Courte;;;;;;;;;;x
GetFactionName_Glory;Glory;Gloire;Ruhm;;Gloria;;;;;;;;;x
GetFactionName_Order;Order;Ordre;Ordnung;;Orden;;;;;;;;;x
GetFactionName_Prosperity;Prosperity;Prospérité;Wohlstand;;Prosperidad;;;;;;;;;x
GetFactionName_Tradition;Tradition;Tradition;Tradition;;Tradicion;;;;;;;;;x

# Tributary types
WAR_ALLY;War Ally;Allié de guerre;Kriegsverbündeter;;Aliado de guerra;;;;;;;;;x
WAR_ALLIES;War Allies;Alliés de guerre;Kriegsverbündete;;Aliados de guerra;;;;;;;;;x
WAR_LEADER_NAME;War Leader;Chef de guerre;Kriegsführer;;Líder de guerra;;;;;;;;;x
