#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# Congenital Traits
agile;Agile;Agile;Agil;;�gil;;;;;;;;;x
melodious_voice_desc;This character is said to have a pleasing voice, and can sing wonderfully. Somehow, when they talk, everyone simply listens.;On dit que ce personnage a une voix agr�able et peut chanter � merveille. D'une mani�re ou d'une autre, quand ils parlent, tout le monde �coute simplement.;Dieser Charakter soll eine angenehme Stimme haben und wunderbar singen k�nnen. Irgendwie h�rt jeder einfach zu, wenn sie reden.;;Se dice que este personaje tiene una voz agradable y puede cantar maravillosamente. De alguna manera, cuando hablan, todos simplemente escuchan.;;;;;;;;;x
perceptive;Perceptive;Perspicace;Wahrnehmend;;Perceptivo;;;;;;;;;x
perceptive_desc;This character possesses extraordinary sharp senses and can spot subtle nuances that others miss entirely.;Ce personnage poss�de des sens extraordinaires et peut rep�rer des nuances subtiles qui manquent � tous.;Dieser Charakter besitzt au�ergew�hnlich scharfe Sinne und kann subtile Nuancen erkennen, die andere v�llig verfehlen.;;Este personaje posee sentidos agudos extraordinarios y puede detectar sutiles matices que otros pierden por completo.;;;;;;;;;x
powerful_voice;Powerful Voice;Voix Puissante;Kraftvolle Stimme;;Poderosa Voz;;;;;;;;;x
powerful_voice_desc;This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;Ce personnage parle d'un ton imposant qui peut persuader ses amis, effrayer ses ennemis et inspirer ses subordonn�s.;Dieser Charakter spricht in einem imposanten Ton, der Freunde �berzeugen, Feinde erschrecken und Untergebene inspirieren kann.;;Este personaje habla en un tono imponente que puede persuadir a los amigos, asustar a los enemigos e inspirar a los subordinados.;;;;;;;;;x
tall;Tall;Haute;Gro�;;Alto;;;;;;;;;x
tall_desc;This character is of unusually tall and impressive stature.;Ce personnage est d'une stature inhabituellement haute et impressionnante.;Dieser Charakter ist ungew�hnlich gro� und beeindruckend.;;Este personaje es de una estatura inusualmente alta e impresionante.;;;;;;;;;x

# Health Traits
deaf;Deaf;Sourd;Taub;;Sordo;;;;;;;;;x
deaf_desc;This character is hard of hearing, which forms an obstacle in many situations.;Ce personnage est dur d'oreille, ce qui constitue un obstacle dans de nombreuses situations.;Dieser Charakter ist schwerh�rig, was in vielen Situationen ein Hindernis darstellt.;;Este personaje tiene problemas de audici�n, lo que constituye un obst�culo en muchas situaciones.;;;;;;;;;x

# Personality Traits
cheerful;Cheerful;Joyeux;Heiter;;Alegre;;;;;;;;;x
cheerful_desc;This character has a naturally bright and merry temperament, and seems to always know a joke in every situation, whether appropriate or not.;Ce personnage a un temp�rament naturellement brillant et joyeux, et semble toujours conna�tre une blague dans toutes les situations, qu�il soit appropri� ou non.;Dieser Charakter hat ein nat�rlich helles und fr�hliches Temperament und scheint in jeder Situation, ob angemessen oder nicht, immer einen Witz zu kennen.;;Este personaje tiene un temperamento alegre y alegre por naturaleza, y parece saber siempre una broma en cada situaci�n, sea apropiada o no.;;;;;;;;;x
moody;Moody;Morne;Launisch;;Temperamental;;;;;;;;;x
moody_desc;This character has a tendency to get lost in sullen sulkiness, and rarely looks on the bright side of life. Their grumpy or gloomy attitude tends to repel other people.;Ce personnage a tendance � se perdre dans une bouderie maussade et regarde rarement le bon c�t� des choses. Leur attitude grincheuse ou sombre a tendance � repousser les autres.;Dieser Charakter hat die Tendenz, sich in m�rrischer Frechheit zu verlieren, und sieht selten auf der Sonnenseite des Lebens aus. Ihre m�rrische oder d�stere Haltung neigt dazu, andere Menschen abzusto�en.;;Este personaje tiende a perderse en el mal humor y rara vez se ve el lado positivo de la vida. Su actitud gru�ona o sombr�a tiende a repeler a otras personas.;;;;;;;;;x
serious;Serious;S�rieuse;Ernsthafte;;Seria;;;;;;;;;x
serious_desc;This character prefers to apply logic and rational thinking in every situation. Humor and merriness to them seem like silly distractions from important problems.;Ce personnage pr�f�re appliquer la logique et la pens�e rationnelle � chaque situation. L'humour et la gaiet� leur semblent une distraction idiote de probl�mes importants.;Dieser Charakter bevorzugt es, in jeder Situation Logik und rationales Denken anzuwenden. Humor und Heiterkeit scheinen ihnen dumme Ablenkungen von wichtigen Problemen zu sein.;;Este personaje prefiere aplicar la l�gica y el pensamiento racional en cada situaci�n. El humor y la alegr�a les parecen distracciones tontas de problemas importantes.;;;;;;;;;x

# Ambition Traits
exalted2;Exalted;;;;;;;;;;;;;x
exalted2_desc;This character is considered extremely impressive, having earned a place in history for their feats.;;;;;;;;;;;;;x
exalted3;Exalted;;;;;;;;;;;;;x
exalted3_desc;This character is considered extremely impressive, having earned a place in history for their feats.;;;;;;;;;;;;;x
exalted4;Exalted;;;;;;;;;;;;;x
exalted4_desc;This character is considered extremely impressive, having earned a place in history for their feats.;;;;;;;;;;;;;x
