#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x



#	Overrides must be loaded first



####################################################################
#
#	College of Cardinals overrides for non-Catholic religions
#
####################################################################

COLLEGE_OF_CARDINALS;Sacred College of Cardinals;Sacré Collège cardinalice;Heiliges Kardinalskollegium;;Sacro Colegio de Cardenalicio;;;;;;;;;x # Older, slightly fancier name, refuses to work with dynamic localisation
PopeLowerCase;pope;papa;Papst;;papa;;;;;;;;;x
GetCollegeElectorTitle_Cardinal;cardinal;cardinal;Kardinal;;cardinal;;;;;;;;;x

SHOW_COLLEGE_OF_CARDINALS;[Root.GetCollegeName];[Root.GetCollegeName];[Root.GetCollegeName];;[Root.GetCollegeName];;;;;;;;;x
GetCollegeName_Cardinals;Sacred College of Cardinals;Sacré Collège cardinalice;Heiliges Kardinalskollegium;;Sacro Colegio de Cardenalicio;;;;;;;;;x
GetCollegeName_DruidsMale;Circle of Druids;Cercle des Druides;Kreis der Druiden;;Circulo de Druidas;;;;;;;;;
GetCollegeName_DruidsFemale;Circle of Druidesses;Cercle des Druidesses;Kreis der Druidinnen;;Circulo de Druidesas;;;;;;;;;

POPE_VOTE_SCORE;§Y[Root.CollegeVoteScore] Suitability: $SCORE$§!;§YChances de devenir [Root.CollegeVoteScore] : $SCORE$§!;§YEignung zum [Root.CollegeVoteScore]: $SCORE$§!;;§YAdecuación como [Root.CollegeVoteScore]: $SCORE$§!;;;;;;;;;x
CollegeVoteScore_Pope;Papal;pape;Papst;;Papa;;;;;;;;;x
CollegeVoteScore_Archdruid;Archdruid;Archidruide;Erzdruide;;Arzodruida;;;;;;;;;x

CANDIDATE_SCORE;§Y[Root.CandidateVoteScore] Appointment Score§!;§YScore pour devenir [Root.CandidateVoteScore]§!;§YEignung zum [Root.CandidateVoteScore]§!;;§YPuntuación para el nombramiento de [Root.CandidateVoteScore]§!;;;;;;;;;x
CandidateVoteScore_Cardinal;Cardinal;cardinal;Kardinal;;cardenal;;;;;;;;;x
CandidateVoteScore_SeniorDruid;Senior Druid;senior druide;Chef-Druide;;druida mayor;;;;;;;;;x

TITLE_GAINED_RELIGIOUS_SETUP;New [Root.CandidateVoteScore] appointed.;Nouveau [Root.CandidateVoteScore] nommé;Neuer [Root.CandidateVoteScore] ernannt;;Nuevo [Root.CandidateVoteScore] nombrado.;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_LETTER;$NEWHOLDER$ was given a seat in the [Root.GetCollegeName].;$NEWHOLDER$ a reçu un siège au [Root.GetCollegeName].;$NEWHOLDER$ wurde ins [Root.GetCollegeName] berufen.;;$NEWHOLDER$ ha obtenido un asiento en el [Root.GetCollegeName].;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_LOG;$NEWHOLDER$ was given a seat in the [Root.GetCollegeName].;$NEWHOLDER$ a reçu un siège au [Root.GetCollegeName].;$NEWHOLDER$ wurde ins [Root.GetCollegeName] berufen.;;$NEWHOLDER$ ha obtenido un asiento en el [Root.GetCollegeName].;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_PLAYER_SETUP;Your vassal was appointed Cardinal.;Votre vassal a été nommé cardinal.;Euer Vasall wurde zum Kardinal ernannt.;;Vuestro vasallo ha sido nombrado Cardenal.;;;;;;;;;x
