# CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

####################################
#
#	Plus Title Types (Individual Cultures)
#
####################################

# ARMENIAN OVERRIDES
duchy_armenian;Melikdom;Melikdome;Meliktum;;Meliko;;;;;;;;;x
duchy_of_armenian;Melikdom of;Melikdome de;Meliktum von;;Meliko de;;;;;;;;;x

# BULGARIAN OVERRIDES
county_bulgarian;Boyardom;Boyardome;Bojartum;;Boyardomo;;;;;;;;;x
county_of_bulgarian;Boyardom of;Boyardome de;Bojartum von;;Boyardomo de;;;;;;;;;x
duchy_bulgarian;Grand Boyardom;Grand Boyardome;Großen Bojardom;;Gran Boyardomo;;;;;;;;;x
duchy_of_bulgarian;Grand Boyardom of;Grand Boyardome de;Großen Bojardom von;;Gran Boyardomo de;;;;;;;;;x
city_kingdom_bulgarian;Grand Republic;Grande République;Großen Republik;Gran República;;;;;;;;;x
city_kingdom_of_bulgarian;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
kingdom_bulgarian;Grand Principality;Grande Principauté;Großfürstentum;;Gran Principado;;;;;;;;;x
kingdom_of_bulgarian;Grand Principality of;Grande Principauté de;Großfürstentum von;;Gran Principado de;;;;;;;;;x
city_empire_bulgarian;Confederation;Confédération;Konföderation;;Confederación;;;;;;;;;x
city_empire_of_bulgarian;Confederation of;Confédération de;Konföderation von;;Confederación de;;;;;;;;;x

# CUMAN OVERRIDES
barony_cuman;Taishi;;;;;;;;;;;;;x
barony_of_cuman;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x
duchy_of_cuman;High Chiefdom of;Grande chefferie de;Großstamm von;;Alto Cacicazgo de;;;;;;;;;x
duchy_cuman;High Chiefdom;Grande chefferie;Großstamm;;Alto Cacicazgo;;;;;;;;;x

# ENGLISH OVERRIDES
barony_english;Barony;Baronnie;Baronie;;Baronía;;;;;;;;;x
barony_of_english;Barony of;Baronnie de;Baronie von;;Baronía de;;;;;;;;;x
county_english;Earldom;Earldom;Earldom;;Earldom;;;;;;;;;x
county_of_english;Earldom of;Earldom de;Earldom von;;Earldom de;;;;;;;;;x

# GREEK OVERRIDES
kingdom_greek;Despotate;Despotat;Despotate;;Despotado;;;;;;;;;x
kingdom_of_greek;Despotate of;Despotat de;Despotate von;;Despotado de;;;;;;;;;x

# HUNGARIAN OVERRIDES
nomadic_kingdom_hungarian;Ország;Ország;Ország;;Ország;;;;;;;;;x
nomadic_kingdom_of_hungarian;Ország of;Ország of;Ország of;;Ország of;;;;;;;;;x

# IRISH OVERRIDES
tribal_duchy_irish;Túath;;;;;;;;;;;;;x
tribal_duchy_of_irish;Túath of;Túath de;Túath von;;Túath de;;;;;;;;;x

# KHAZAR OVERRIDES
barony_khazar;Taishi;;;;;;;;;;;;;x
barony_of_khazar;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x
duchy_khazar;High Chiefdom;Grande chefferie;Großstamm;;Alto Cacicazgo;;;;;;;;;x
duchy_of_khazar;High Chiefdom of;Grande chefferie de;Großstamm von;;Alto Cacicazgo de;;;;;;;;;x

# MONGOL OVERRIDES
barony_mongol;Taishi;;;;;;;;;;;;;x
barony_of_mongol;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x
